_id,background,day,investor_0to1w,investor_100w_up,investor_10to100w,investor_1to10w,name,plat_id,status,wdzj_plat_id,borrower_0to20w,borrower_100w_up,borrower_20to100w,return_rate_diff_0to1m,return_rate_diff_1to2m,return_rate_diff_2to3m,return_rate_diff_3to6m,return_rate_diff_6m_up,complete_time_diff_0to1m,complete_time_diff_1to2m,complete_time_diff_2to3m,complete_time_diff_3to6m,complete_time_diff_6m_up,top_ten_borrower_to_repay,top_ten_investor_to_receice,top_fifty_borrower_to_repay,top_fifty_investor_to_receice,finished
lufax_2017-08-31,上市系,2017-08-31,35587,1246,40803,99292,陆金服,lufax,normal,59,100070,0,60747,4.17,5.06,0,6.05,8.3,0,0,0,0,0,0.01,2.81,0.02,6.14,1
lufax_2017-09-30,上市系,2017-09-30,50069,920,26266,71384,陆金服,lufax,normal,59,73351,0,41554,4.65,5.26,0,6.07,8.28,0,0,0,0,0,0,2.59,0.02,5.67,1
lufax_2017-10-31,上市系,2017-10-31,56229,571,21912,57393,陆金服,lufax,normal,59,61070,0,31940,5.17,5.3,0,6.1,8.38,0,0,0,0,0,0,2.41,0.02,5.29,1
lufax_2017-11-30,上市系,2017-11-30,60733,590,24037,64934,陆金服,lufax,normal,59,65234,0,36428,0,5.3,0,6.16,8.37,0,0,0,0,0,0,2.22,0.02,4.89,1
lufax_2017-12-31,上市系,2017-12-31,64083,651,27970,75047,陆金服,lufax,normal,59,79756,0,41459,0,5.3,0,6.52,8.38,0,0,0,0,0,0,2.02,0.02,4.46,1
lufax_2018-01-31,上市系,2018-01-31,101446,855,29779,92605,陆金服,lufax,normal,59,261169,0,45,0,5.3,0,7.22,8.36,0,0,0,0,0,0,1.86,0.02,4.11,1
lufax_2018-02-28,上市系,2018-02-28,95034,916,39407,105308,陆金服,lufax,normal,59,489009,0,103,0,5.3,0,7.51,8.38,0,0,0,0,0,0,1.69,0.02,3.73,1
lufax_2018-03-31,上市系,2018-03-31,116960,669,33268,110962,陆金服,lufax,normal,59,337604,0,35,0,5.3,0,6.87,8.37,0,0,0,0,0,0,1.53,0.01,3.35,1
lufax_2018-04-30,上市系,2018-04-30,123512,306,17437,69960,陆金服,lufax,normal,59,109786,0,22,0,5.3,0,6.38,8.36,0,0,0,0,0,0,1.38,0.01,3.03,1
lufax_2018-05-31,上市系,2018-05-31,124265,551,20851,76358,陆金服,lufax,normal,59,130028,0,1318,0,5.3,0,6.44,8.35,0,0,0,0,0,0,1.22,0.01,2.68,1
lufax_2018-06-30,上市系,2018-06-30,111751,889,21460,80123,陆金服,lufax,normal,59,261830,0,2,0,5.3,0,6.44,8.36,0,0,0,0,0,0,1.07,0.01,2.38,1
lufax_2018-07-31,上市系,2018-07-31,77376,951,27875,82858,陆金服,lufax,normal,59,375435,0,3,0,5.3,0,6.53,8.36,0,0,0,0,0,0,0.92,0.01,2.08,1
my089_2017-08-31,民营系,2017-08-31,26780,1178,20170,41371,红岭创投,my089,normal,60,4066,2294,5387,6.45,8.97,8.58,8.82,10.47,1420.98,500.71,4903.13,5172.73,10025.72,8.72,0.85,24.79,2.85,
my089_2017-09-30,民营系,2017-09-30,29354,1117,20317,41392,红岭创投,my089,normal,60,2591,2292,4871,7.01,9.13,8.97,8.48,10.33,1606.58,491.39,7026.2,22144.79,14058.82,7.84,0.89,23.05,2.92,
my089_2017-10-31,民营系,2017-10-31,27854,1038,19772,41568,红岭创投,my089,normal,60,2552,2152,4660,5.78,8.94,8.73,8.59,10.29,1658.85,541.25,3711.64,16705.25,21148.07,7.77,0.94,22.63,3.02,
my089_2017-11-30,民营系,2017-11-30,25121,1066,20312,40712,红岭创投,my089,normal,60,2650,2196,5118,5.93,8.8,8.58,8.51,10.28,1650.2,553.13,1902.25,13747.31,14016.08,7.45,1.02,21.62,3.13,
my089_2017-12-31,民营系,2017-12-31,25179,1120,21385,40974,红岭创投,my089,normal,60,2424,2229,4872,7.1,8.99,8.89,8.52,10.45,1295.44,523.35,7688.68,19305.3,25244.72,6.05,1.1,18.96,3.28,
my089_2018-01-31,民营系,2018-01-31,24109,1073,21991,39637,红岭创投,my089,normal,60,2385,2308,4690,6.42,9.01,9,8.65,10.87,1437.69,511.67,4509.68,25080.84,23807.27,5.79,1.02,17.84,3.06,
my089_2018-02-28,民营系,2018-02-28,23121,1118,21629,39715,红岭创投,my089,normal,60,2523,2212,4038,6.84,8.77,8.37,8.44,10.26,1300.79,519.41,2152.06,6918.46,11351.73,5.54,1.04,16.39,3.01,
my089_2018-03-31,民营系,2018-03-31,26025,1139,21502,40661,红岭创投,my089,normal,60,2678,2137,3504,5.45,8.36,8.12,8.14,9.47,1562.84,529,3172.01,7028.01,5815.18,5.56,1.04,13.31,3,
my089_2018-04-30,民营系,2018-04-30,25476,1192,21797,39963,红岭创投,my089,normal,60,2621,2175,3778,6.3,8.69,8.51,8.2,10.15,1282.08,522.48,6244.1,13754.18,16334.36,5.14,1.26,11.61,3.45,
my089_2018-05-31,民营系,2018-05-31,24885,1024,20195,38673,红岭创投,my089,normal,60,3599,2047,3179,5.62,8.78,8.58,8.43,9.98,1405.89,589.84,3877.45,14928.68,13496.6,5.09,1.13,10.55,3.29,
my089_2018-06-30,民营系,2018-06-30,24043,1085,19586,37913,红岭创投,my089,normal,60,3374,1966,2997,6.61,8.84,8.86,8.48,10.03,1389.73,542,615.55,9663.81,16748.08,4.41,1.14,9.71,3.4,
my089_2018-07-31,民营系,2018-07-31,25134,1001,18665,38194,红岭创投,my089,normal,60,2949,1904,2801,10.93,11.68,9.12,10.11,10.37,1158.59,459.74,986.92,13745.6,50050.47,4.69,1.24,10.16,3.51,
wd5_2017-08-31,上市系,2017-08-31,45311,641,16912,66231,微贷网,wd5,normal,38,118132,161,4371,6.17,7.52,7.66,8.19,9.43,92.48,132.99,132.74,74499.5,3574149.11,0.42,4.88,1.61,7.77,
wd5_2017-09-30,上市系,2017-09-30,45124,490,15394,63990,微贷网,wd5,normal,38,192822,12,1499,6.31,7.34,7.28,7.99,9.41,17.55,285.89,62654.55,636835.09,2242222.77,0.41,4.45,1.6,7.29,
wd5_2017-10-31,上市系,2017-10-31,60404,643,18278,71137,微贷网,wd5,normal,38,582549,23,1797,5.63,7.29,7.26,7.88,9.37,29.01,1278.51,32111.02,238862.33,1580159.77,0.31,4.83,1.15,7.48,
wd5_2017-11-30,上市系,2017-11-30,86232,407,13988,65385,微贷网,wd5,normal,38,839441,32,1042,5.53,7.3,7.27,7.88,9.17,118.61,14843.51,196548.94,424060.09,793026.79,0.31,5.57,0.98,8.41,
wd5_2017-12-31,上市系,2017-12-31,92570,545,16829,71712,微贷网,wd5,normal,38,199342,102,1700,5.23,7.27,7.27,7.73,9.18,1611.33,38742.74,605650.68,1157901.27,2078133.14,0.09,6.06,0.34,8.52,
wd5_2018-01-31,上市系,2018-01-31,67783,640,19459,74045,微贷网,wd5,normal,38,107678,131,1673,3.44,7.16,7.25,7.72,9.3,21040.2,52462.36,505781.83,1746279.6,1480806.33,0.12,5.14,0.39,7.77,
wd5_2018-02-28,上市系,2018-02-28,67796,269,11491,65673,微贷网,wd5,normal,38,67031,107,981,4.04,7.09,7.16,7.89,9.38,88916.57,48396.84,342479.39,1466905.54,1867993.52,0.12,5.55,0.59,8.46,
wd5_2018-03-31,上市系,2018-03-31,86758,450,16387,80091,微贷网,wd5,normal,38,75918,111,1235,3.48,6.63,6.39,7.19,8.81,105921.03,49106.55,846887.74,2430277.05,738896.53,0.12,4.07,0.38,6.64,
