_id,background,name,plat_id,wdzj_plat_id,status,finished
lufax,上市系,陆金服,lufax,59,normal,1
my089,民营系,红岭创投,my089,60,normal,1
wd5,上市系,微贷网,wd5,38,normal,1
iqianjin,,爱钱进,iqianjin,0,normal,
57,,人人贷,57,57,normal,1
yirendai,,宜人贷,yirendai,0,normal,
yooli,风投系,有利网,yooli,142,normal,1
xiaoniu88,民营系,小牛在线,xiaoniu88,223,normal,1
niwodai,民营系,你我贷,niwodai,40,normal,1
ppdai,,拍拍贷,ppdai,0,normal,
tuandai,风投系,团贷网,tuandai,91,normal,1
edai,风投系,宜贷网,edai,942,normal,1
360taihe,,泰然金融,360taihe,0,normal,
2140,,轻易贷,2140,2140,normal,1
1309,风投系,小赢网金,1309,1309,normal,1
jimubox,风投系,积木盒子,jimubox,268,normal,1
6533,民营系,银谷在线,6533,6533,normal,1
xyb100,民营系,信用宝,xyb100,307,normal,1
jinxin99,民营系,金信网,jinxin99,508,normal,1
ppmoney,,PPmoney,ppmoney,0,normal,
eloancn,上市系,翼龙贷,eloancn,144,normal,1
rxdai,,投哪网,rxdai,0,normal,
hexindai,上市系,和信贷,hexindai,235,normal,1
512,民营系,信和大金融,512,512,normal,1
itouzi,,爱投资,itouzi,0,normal,
537,风投系,91旺财,537,537,normal,1
wsloan,,温商贷,wsloan,0,normal,
127,,易通贷,127,127,normal,1
rozo360,风投系,人众金服,rozo360,3558,normal,1
dianrong,风投系,点融,dianrong,129,normal,1
1503,民营系,恒易融,1503,1503,normal,1
jinlianchu,,金联储,jinlianchu,0,normal,
qian88,,钱爸爸,qian88,0,normal,
rongjinsuo,民营系,融金所,rongjinsuo,184,normal,1
guangxindai,民营系,广信贷,guangxindai,165,normal,1
2750,上市系,聚宝普惠,2750,2750,normal,1
836,民营系,钱盆网,836,836,normal,1
baobidai,,生菜金融,baobidai,0,normal,
gqget,,冠e通,gqget,0,normal,
wanglibao,上市系,网利宝,wanglibao,868,normal,1
932,风投系,拓道金服,932,932,normal,1
renrenmoney,民营系,人人聚财,renrenmoney,93,normal,1
4299,,来存吧,4299,4299,提现困难,1
3090,民营系,中业兴融,3090,3090,normal,1
611,民营系,汇盈金服,611,611,normal,1
5658,民营系,洋钱罐,5658,5658,normal,1
34,,麦子金服财富,34,34,normal,1
kesucorp,,可溯金融,kesucorp,0,normal,
iqianbang,,爱钱帮,iqianbang,0,normal,
zhaiquanjiaoyi,,银豆网,zhaiquanjiaoyi,0,normal,
3192,上市系,理财农场,3192,3192,normal,1
jinyinmao,,金银猫,jinyinmao,0,normal,
3980,,叮咚钱包,3980,3980,normal,1
bjdp2p,国资系,博金贷,bjdp2p,1190,normal,1
tutengdai,,图腾贷,tutengdai,0,normal,
xiaozhu58,,小猪理财,xiaozhu58,0,normal,
duanrong,风投系,短融网,duanrong,664,normal,1
1881,民营系,有融网,1881,1881,normal,1
1493,国资系,民贷天下,1493,1493,normal,1
xinrong,上市系,信融财富,xinrong,128,normal,1
3187,,投融家,3187,3187,提现困难,1
4982,上市系,米庄理财,4982,4982,normal,1
junrongdai,,君融贷,junrongdai,0,normal,
4389,民营系,新升贷,4389,4389,normal,1
1ju,民营系,宜聚网,1ju,154,normal,1
2930,国资系,万盈金融,2930,2930,normal,1
aicailang,,hct惠农聚宝,aicailang,0,normal,
zhaoshangdai,上市系,招商贷,zhaoshangdai,175,normal,1
4401,,分利宝,4401,4401,normal,1
897,,利民网,897,897,提现困难,1
4390,,合家金融,4390,4390,normal,1
id68,上市系,理想宝,id68,583,normal,1
lianzidai,风投系,连资贷,lianzidai,1282,normal,1
3347,民营系,钜宝盆,3347,3347,normal,1
4011,,华赢贷,4011,4011,normal,1
1982,国资系,道口贷,1982,1982,normal,1
2016,上市系,铜掌柜,2016,2016,normal,1
1732,,钱保姆,1732,1732,提现困难,1
1527,民营系,百金贷,1527,1527,normal,1
1345,上市系,搜易贷,1345,1345,normal,1
jrq,,金融圈,jrq,0,normal,
eastlending,国资系,东方汇,eastlending,2001,normal,1
miniwangdai,风投系,迷你贷,miniwangdai,387,normal,1
dib66,民营系,地标金融,dib66,343,normal,1
xiangshang360,民营系,向上金服,xiangshang360,365,normal,1
5216,民营系,E都市钱包,5216,5216,normal,1
jiedai,风投系,钱多多,jiedai,467,normal,1
leadercf,,礼德财富,leadercf,0,normal,
heshidai,,合时代,heshidai,0,normal,
licaifan,风投系,理财范,licaifan,500,normal,1
3596,上市系,e融所,3596,3596,normal,1
7010,,云端金融,7010,7010,提现困难,1
4300,民营系,普惠家,4300,4300,normal,1
2052,民营系,聚车金融,2052,2052,normal,1
newunion,国资系,新联在线,newunion,236,normal,1
3483,上市系,合众e贷,3483,3483,normal,1
5310,民营系,花虾金融,5310,5310,normal,1
574,,大同行,574,574,提现困难,1
3416,,多多理财,3416,3416,提现困难,1
602,上市系,黄河金融,602,602,normal,1
9douyu,,九斗鱼,9douyu,0,normal,
88bank,国资系,e路同心,88bank,2219,normal,1
2762,国资系,宝象金融,2762,2762,normal,1
qtyd,,祺天优贷,qtyd,0,normal,
3029,国资系,首E家,3029,3029,normal,1
2636,民营系,淘淘金,2636,2636,normal,1
xinxindai,国资系,新新贷,xinxindai,95,normal,1
invstone,,石投金融,invstone,0,normal,
qdai,国资系,口贷网,qdai,1089,normal,1
frbao,风投系,付融宝,frbao,460,normal,1
2189,民营系,多赢普惠,2189,2189,normal,1
2953,民营系,知商金融,2953,2953,normal,1
hurbao,国资系,互融宝,hurbao,694,normal,1
irongbei,风投系,融贝网,irongbei,1144,normal,1
3797,国资系,金投行,3797,3797,normal,1
sslj8cn,,乐居财富,sslj8cn,0,normal,
qiandt,民营系,乾贷网,qiandt,403,normal,1
5392,民营系,城铁在融,5392,5392,normal,1
haoinvestcom,民营系,安捷财富,haoinvestcom,900,normal,1
3051,上市系,易港金融,3051,3051,normal,1
660,上市系,联金所,660,660,normal,1
6369,,善林财富,6369,6369,经侦介入,1
4153,民营系,白菜金融,4153,4153,normal,1
1496,,元宝365,1496,1496,normal,1
4005,国资系,首金网,4005,4005,normal,1
yinhu,上市系,银湖网,yinhu,623,normal,1
twotiger,,两只老虎,twotiger,0,normal,
4142,上市系,嘉石榴,4142,4142,normal,1
hepandai,,合盘金服,hepandai,0,normal,
4197,民营系,零用贷,4197,4197,normal,1
2120,民营系,福银票号,2120,2120,normal,1
zhifu360,民营系,智富贷,zhifu360,2136,normal,1
rjb777,,融金宝,rjb777,0,normal,
2600,民营系,钱香,2600,2600,normal,1
xiaoyoucai,民营系,小油菜,xiaoyoucai,524,normal,1
4235,国资系,普汇云通,4235,4235,normal,1
yinzipu,民营系,银子铺,yinzipu,1678,normal,1
hhycdaicom,民营系,小鸡理财,hhycdaicom,1822,normal,1
4420,,金盈所,4420,4420,提现困难,1
4278,,米金社,4278,4278,normal,1
3462,民营系,德鸿普惠,3462,3462,normal,1
2635,,钱内助,2635,2635,提现困难,1
1001,民营系,汇理财,1001,1001,normal,1
baocai,上市系,抱财网,baocai,541,normal,1
4352,国资系,互惠金服,4352,4352,normal,1
1623,国资系,中融投,1623,1623,normal,1
yinker,,财富星球,yinker,0,normal,
rong2014,,小微金融,rong2014,0,normal,
lichengdai,,信广立诚贷,lichengdai,0,normal,
4146,,小九金服,4146,4146,提现困难,1
hepai,民营系,合拍在线,hepai,117,normal,1
zhubaodai,上市系,珠宝贷,zhubaodai,883,normal,1
96caifu,上市系,玖融网,96caifu,246,normal,1
695,民营系,旺财谷,695,695,normal,1
2683,国资系,小狗钱钱,2683,2683,normal,1
chenghuitong,民营系,诚汇通,chenghuitong,245,normal,1
1465,,渝金所,1465,1465,提现困难,1
tintinloan,风投系,丁丁金服,tintinloan,336,normal,1
yinpiao,,银票网,yinpiao,0,normal,
1005,民营系,中融宝,1005,1005,normal,1
1916,,精融汇,1916,1916,normal,1
anxin,,安心贷,anxin,0,normal,
p2phx,民营系,恒信易贷,p2phx,491,normal,1
sxrong,民营系,三信贷,sxrong,102,normal,1
darenloan,风投系,达人贷,darenloan,715,normal,1
uhjb,,红金宝,uhjb,0,normal,
1392,民营系,融租E投,1392,1392,normal,1
xwsd,民营系,小微时贷,xwsd,1411,normal,1
jql,民营系,金桥梁,jql,1130,normal,1
1701,民营系,三益宝,1701,1701,normal,1
1577,国资系,紫金所,1577,1577,normal,1
4315,民营系,今金贷,4315,4315,normal,1
4109,,国泰·惠民益贷,4109,4109,提现困难,1
winwindai,,共信赢,winwindai,0,normal,
3921,国资系,乐享宝,3921,3921,normal,1
5588,民营系,念钱安,5588,5588,normal,1
yrhx,民营系,易融恒信,yrhx,371,normal,1
1614,,58车贷,1614,1614,提现困难,1
longkin,上市系,隆金宝,longkin,1638,normal,1
5aitou,民营系,爱投金融,5aitou,346,normal,1
yiqihao,风投系,一起好,yiqihao,97,normal,1
2154,民营系,果儿金融,2154,2154,normal,1
1423,国资系,民投金服,1423,1423,normal,1
923,民营系,普惠理财,923,923,normal,1
2388,民营系,小宝金融,2388,2388,normal,1
goodsure,上市系,果树财富,goodsure,746,normal,1
3684,民营系,汇诚金服,3684,3684,normal,1
2910,民营系,爱本地金服,2910,2910,normal,1
6592,国资系,前金融,6592,6592,normal,1
4144,国资系,前海惠农,4144,4144,normal,1
pmzaixian,,胖毛在线,pmzaixian,0,normal,
3859,上市系,联连普金,3859,3859,normal,1
huaguo,,花果金融,huaguo,0,normal,
weicherong,民营系,微车融,weicherong,905,normal,1
3930,,郑投网,3930,3930,normal,1
baocn,,宝点网,baocn,0,normal,
49,民营系,汇通易贷,49,49,normal,1
penging,上市系,鹏金所,penging,1195,normal,1
677,风投系,沪商财富,677,677,normal,1
itoumi,民营系,投米网,itoumi,1131,normal,1
3402,,猴子理财,3402,3402,提现困难,1
toufuli,民营系,投复利,toufuli,1331,normal,1
fenqian,,分钱网,fenqian,0,normal,
yesvion,民营系,粤商贷,yesvion,398,normal,1
kuaikuaidai,民营系,快快贷,kuaikuaidai,685,normal,1
xueshandai,民营系,雪山贷,xueshandai,171,normal,1
3992,民营系,小树时代网贷,3992,3992,normal,1
2389,,壹佰金融,2389,2389,提现困难,1
2954,,金投手,2954,2954,提现困难,1
2114,,链家理财,2114,2114,normal,1
6398,民营系,链链金融,6398,6398,normal,1
fhjr,国资系,丰汇金融,fhjr,1516,normal,1
licai168,民营系,168金服,licai168,850,normal,1
511,民营系,车易贷,511,511,normal,1
2310,,绿化贷,2310,2310,提现困难,1
rmbboxcom,民营系,邦帮堂,rmbboxcom,1041,normal,1
4343,,银狐财富,4343,4343,提现困难,1
2090,,亿宝贷,2090,2090,经侦介入,1
1653,民营系,中兴财富,1653,1653,normal,1
sunfobank,民营系,新富金融,sunfobank,724,normal,1
5262,,安安理财,5262,5262,停业,1
1348,,牛牛bank,1348,1348,normal,1
zibenzaixian,,资本在线,zibenzaixian,0,normal,
6392,民营系,通通理财,6392,6392,normal,1
newnewbank,,牛牛bank,newnewbank,0,normal,
yxp2p,民营系,壹心贷,yxp2p,458,normal,1
3272,,银巴克,3272,3272,提现困难,1
6499,民营系,恩科e贷,6499,6499,normal,1
2591,民营系,掌中财富,2591,2591,normal,1
4032,,财富智汇,4032,4032,提现困难,1
2126,民营系,一点通财富,2126,2126,normal,1
2918,,广群金融,2918,2918,经侦介入,1
wangtouwang,国资系,网投网,wangtouwang,1436,normal,1
xitouwang,民营系,喜投网,xitouwang,983,normal,1
51jiecai,上市系,今日捷财,51jiecai,808,normal,1
3955,民营系,中潮金服,3955,3955,normal,1
3259,上市系,奇乐融,3259,3259,normal,1
3917,国资系,万家贷,3917,3917,normal,1
799,上市系,广州e贷,799,799,normal,1
2622,,九信金融,2622,2622,停业,1
51qianba,民营系,钱吧,51qianba,686,normal,1
honhe,,后河财富,honhe,0,normal,
4147,,森昊好时贷,4147,4147,转型,1
1160,,众易贷,1160,1160,提现困难,1
4003,,小贷吧,4003,4003,normal,1
3854,,财富派(京),3854,3854,normal,1
yonglibao,,永利宝,yonglibao,0,normal,
1017,民营系,网汇贷,1017,1017,normal,1
tangguojr,民营系,糖果金融,tangguojr,1715,normal,1
ddzrh,民营系,智融会,ddzrh,1113,normal,1
zhechangdai,民营系,浙昌贷,zhechangdai,474,normal,1
njb888,,农金宝,njb888,0,normal,
475,民营系,鄂汇金融,475,475,normal,1
4367,,中再融,4367,4367,提现困难,1
1274,国资系,大麦理财,1274,1274,normal,1
kingkaid,,金开贷,kingkaid,0,normal,
liyedai,风投系,立业贷,liyedai,435,normal,1
gofobao,民营系,广富宝,gofobao,220,normal,1
zgxyct,,星月创投,zgxyct,0,normal,
5070,民营系,千林贷,5070,5070,normal,1
yingzhongtou,民营系,赢众投,yingzhongtou,4116,normal,1
ship2p,,沃时贷,ship2p,0,normal,
bbuwin,民营系,步步盈,bbuwin,960,normal,1
2375,上市系,杉易贷,2375,2375,normal,1
zhongdaihui,,众贷汇,zhongdaihui,0,normal,
