_id,name,register_location,register_time,status,wdzj_plat_id
1090,生菜金融,上海|浦东,2014-09-09,normal,1090
537,91旺财,北京|西城,2014-03-19,normal,537
95,新新贷,上海|虹口,2012-02-21,normal,95
1190,博金贷,江西|南昌,2014-09-16,normal,1190
689,爱钱进,北京|东城,2014-05-06,normal,689
236,新联在线,广东|广州,2013-07-31,normal,236
715,达人贷,广东|深圳,2013-12-27,normal,715
403,乾贷网,贵州|贵阳,2013-10-21,normal,403
1527,百金贷,北京|朝阳,2014-12-26,normal,1527
127,易通贷,北京|海淀,2013-03-15,normal,127
2674,小猪理财,江西|南昌,2015-03-01,normal,2674
746,果树财富,广东|深圳,2014-08-01,normal,746
307,信用宝,北京|东城,2013-05-01,normal,307
4891,51人品,浙江|杭州,2015-05-01,normal,4891
932,拓道金服,浙江|杭州,2013-12-09,normal,932
3596,e融所,广东|深圳,2015-12-30,normal,3596
808,今日捷财,上海|虹口,2014-08-28,normal,808
660,联金所,广东|深圳,2013-11-01,normal,660
2126,一点通财富,广东|广州,2015-06-05,normal,2126
3051,易港金融,浙江|杭州,2014-11-01,normal,3051
4235,普汇云通,广东|深圳,2015-08-24,normal,4235
3192,理财农场,广东|深圳,2015-03-15,normal,3192
142,有利网,北京|海淀,2013-02-25,normal,142
3098,惠投无忧,广东|深圳,2015-08-08,normal,3098
2375,杉易贷,广东|深圳,2014-09-29,normal,2375
91,团贷网,广东|东莞,2012-07-15,normal,91
235,和信贷,北京|朝阳,2014-03-07,normal,235
144,翼龙贷,北京|海淀,2011-04-01,normal,144
85,宜人贷,北京|朝阳,2012-07-05,normal,85
40,你我贷,上海|浦东,2011-06-18,normal,40
52,拍拍贷,上海|浦东,2007-06-17,normal,52
38,微贷网,浙江|杭州,2011-07-08,normal,38
129,点融,上海|黄浦,2013-03-18,normal,129
57,人人贷,北京|海淀,2010-10-13,normal,57
498,PPmoney网贷,广东|广州,2012-12-12,normal,498
96,投哪网,广东|深圳,2012-05-04,normal,96
365,向上金服,北京|东城,2013-08-16,normal,365
165,广信贷,北京|朝阳,2013-01-21,normal,165
84,捞财宝,上海|浦东,2015-07-28,normal,84
268,积木盒子,北京|朝阳,2013-08-07,normal,268
5216,E都市钱包,浙江|杭州,2016-07-01,normal,5216
977,钱牛牛,上海|长宁,2014-09-15,normal,977
555,玖富,北京|朝阳,2013-10-10,normal,555
3483,合众e贷,广东|深圳,2015-11-16,normal,3483
1493,民贷天下,广东|广州,2014-12-31,normal,1493
4911,铜板街,浙江|杭州,2013-06-11,normal,4911
611,汇盈金服,北京|海淀,2013-12-23,normal,611
1152,麻袋财富,上海|虹口,2014-12-08,normal,1152
4144,前海惠农,广东|深圳,2016-01-01,normal,4144
1846,信而富,上海|长宁,2010-11-01,normal,1846
1496,元宝365,北京|石景山,2014-11-12,normal,1496
49,汇通易贷,广东|深圳,2011-05-23,normal,49
2600,钱香,上海|浦东,2015-08-18,normal,2600
1144,融贝网,北京|东城,2014-03-21,normal,1144
743,融金宝,广东|深圳,2014-09-03,normal,743
2762,宝象金融,上海|浦东,2015-04-02,normal,2762
1041,邦帮堂,北京|朝阳,2014-09-26,normal,1041
184,融金所,广东|深圳,2013-05-15,normal,184
3859,联连普金,上海|浦东,2015-12-18,normal,3859
1982,道口贷,北京|海淀,2014-12-19,normal,1982
3259,奇乐融,安徽|合肥,2015-10-28,normal,3259
92,安心贷,北京|石景山,2011-07-01,normal,92
128,信融财富,广东|深圳,2012-12-27,normal,128
154,宜聚网,广东|深圳,2013-04-16,normal,154
435,立业贷,广东|深圳,2014-02-10,normal,435
3642,口袋理财,上海|长宁,2014-12-25,normal,3642
3558,人众金服,浙江|杭州,2013-04-27,normal,3558
2930,万盈金融,广东|深圳,2015-05-09,normal,2930
2189,多赢普惠,广东|深圳,2014-12-24,normal,2189
836,钱盆网,广西|南宁,2014-08-06,normal,836
677,沪商财富,上海|浦东,2014-06-18,normal,677
541,抱财网,北京|海淀,2014-03-01,normal,541
1195,鹏金所,广东|深圳,2014-12-01,normal,1195
2001,东方汇,上海|浦东,2014-06-24,normal,2001
2016,铜掌柜,浙江|杭州,2014-10-13,normal,2016
583,理想宝,广东|深圳,2014-05-23,normal,583
1423,民投金服,广东|深圳,2015-01-08,normal,1423
868,网利宝,北京|朝阳,2014-08-21,normal,868
2005,友金服,广东|深圳,2014-10-16,normal,2005
93,人人聚财,广东|深圳,2011-11-01,normal,93
4005,首金网,北京|海淀,2015-12-29,normal,4005
1309,小赢网金,广东|深圳,2014-08-01,normal,1309
602,黄河金融,浙江|杭州,2014-04-29,normal,602
1345,搜易贷,北京|海淀,2014-09-02,normal,1345
1786,格林易贷,广东|深圳,2014-10-28,normal,1786
1745,米缸金融,上海|浦东,2015-02-01,normal,1745
1984,七彩格子,河北|石家庄,2014-11-06,normal,1984
524,小油菜,北京|朝阳,2014-01-20,normal,524
508,金信网,北京|海淀,2013-12-31,normal,508
1005,中融宝,山东|青岛,2014-07-01,normal,1005
500,理财范,北京|朝阳,2014-03-20,normal,500
1274,大麦理财,广东|深圳,2014-10-12,normal,1274
4315,今金贷,甘肃|兰州,2015-05-16,normal,4315
3841,小诺理财,北京|朝阳,2015-11-11,normal,3841
417,后河财富,广东|深圳,2014-02-12,normal,417
1503,恒易融,北京|东城,2014-11-06,normal,1503
566,e微贷,广东|深圳,2014-03-20,normal,566
2219,e路同心,广东|深圳,2015-01-18,normal,2219
1089,口贷网,四川|成都,2011-01-01,normal,1089
694,互融宝,江苏|南京,2014-05-16,normal,694
223,小牛在线,广东|深圳,2013-06-18,normal,223
3347,钜宝盆,上海|浦东,2015-05-11,normal,3347
799,广州e贷,广东|广州,2015-01-23,normal,799
143,爱贷网,浙江|杭州,2012-08-28,normal,143
894,融资易,广东|广州,2014-09-26,normal,894
4142,嘉石榴,浙江|杭州,2015-06-01,normal,4142
116,开鑫贷,江苏|南京,2012-12-28,normal,116
4278,米金社,浙江|杭州,2016-01-15,normal,4278
1785,汇泉贷,山东|青岛,2015-01-13,normal,1785
984,金宝保,重庆|渝北,2014-06-23,normal,984
274,众金在线,广东|深圳,2013-07-08,normal,274
491,恒信易贷,广东|广州,2013-12-05,normal,491
336,丁丁金服,山东|济南,2013-07-25,normal,336
5658,洋钱罐,北京|朝阳,2015-11-09,normal,5658
3029,首E家,北京|东城,2015-07-08,normal,3029
117,合拍在线,广东|深圳,2012-06-08,normal,117
865,惠人贷,北京|西城,2012-08-03,normal,865
505,鑫合汇,浙江|杭州,2013-12-12,normal,505
664,短融网,北京|朝阳,2014-06-27,normal,664
2857,凤凰金融,北京|朝阳,2014-12-02,normal,2857
974,钱盒子,广东|深圳,2014-10-28,normal,974
881,图腾贷,四川|成都,2014-09-10,normal,881
629,工场微金,北京|朝阳,2012-07-01,normal,629
460,付融宝,江苏|南京,2013-11-22,normal,460
883,珠宝贷,广东|深圳,2014-09-23,normal,883
1282,连资贷,浙江|杭州,2014-09-22,normal,1282
1949,固金所,广东|深圳,2015-05-06,normal,1949
628,石投金融,上海|嘉定,2014-05-19,normal,628
102,三信贷,浙江|温州,2012-09-03,normal,102
3992,小树时代网贷,广东|深圳,2015-03-15,normal,3992
324,互贷网,上海|虹口,2013-08-12,normal,324
686,钱吧,山东|青岛,2014-06-18,normal,686
2657,平方贷,福建|福州,2015-08-13,normal,2657
3364,车e融,北京|海淀,2015-08-01,normal,3364
415,微金所,北京|海淀,2013-11-15,normal,415
648,德众金融,安徽|合肥,2014-06-06,normal,648
1087,腾邦创投,广东|深圳,2014-09-25,normal,1087
601,阿朋贷,北京|朝阳,2014-01-25,normal,601
942,宜贷网,上海|嘉定,2014-01-01,normal,942
3113,三农金服,广东|深圳,2015-08-28,normal,3113
246,玖融网,湖北|武汉,2013-07-18,normal,246
1437,华人金融,广东|深圳,2015-01-15,normal,1437
2248,快捷财富,广东|东莞,2015-06-06,normal,2248
2750,聚宝普惠,北京|朝阳,2014-07-23,normal,2750
398,粤商贷,广东|深圳,2013-12-19,normal,398
4982,米庄理财,浙江|杭州,2015-04-28,normal,4982
1864,多宝贷,广东|东莞,2014-10-16,normal,1864
3797,金投行,浙江|杭州,2014-11-27,normal,3797
948,乐投壹佰,北京|朝阳,2014-03-21,normal,948
4464,五爱金融,辽宁|沈阳,2016-06-01,normal,4464
3090,中业兴融,广东|深圳,2015-02-02,normal,3090
1056,速贷100,广东|韶关,2014-06-08,normal,1056
633,聚金资本,河南|郑州,2014-06-26,normal,633
50,掌存宝,上海|长宁,2012-02-14,normal,50
124,晋商贷,山西|太原,2012-08-08,normal,124
169,爱投资,北京|海淀,2013-03-31,normal,169
1182,银点财富,河北|石家庄,2014-11-11,normal,1182
2971,钱座,山东|青岛,2015-08-16,normal,2971
1653,中兴财富,湖北|武汉,2015-03-18,normal,1653
2549,海融易,山东|青岛,2014-06-01,normal,2549
2603,阳光金服,河南|郑州,2013-07-01,normal,2603
220,广富宝,广东|深圳,2013-07-24,normal,220
697,联保投资网,河南|郑州,2013-08-19,normal,697
371,易融恒信,湖北|武汉,2013-11-11,normal,371
53,365易贷,江苏|南京,2010-02-01,normal,53
108,圈圈金服,广东|广州,2012-04-17,normal,108
4815,安益金融,云南|昆明,2015-01-23,normal,4815
2388,小宝金融,广东|深圳,2015-07-03,normal,2388
623,银湖网,北京|东城,2014-07-01,normal,623
6398,链链金融,北京|朝阳,2017-01-03,normal,6398
1471,酷融贷,北京|朝阳,2014-11-28,normal,1471
1038,今时贷,江西|南昌,2014-11-10,normal,1038
418,融通资产,江西|赣州,2014-01-22,normal,418
1297,众可贷,四川|成都,2014-11-18,normal,1297
488,金开贷,陕西|西安,2014-05-26,normal,488
1577,紫金所,江苏|南京,2014-07-21,normal,1577
387,迷你贷,广东|深圳,2013-11-16,normal,387
644,好又贷,广东|广州,2014-04-25,normal,644
3595,前海领投,广东|深圳,2014-12-27,normal,3595
1050,中广核富盈,广东|深圳,2014-09-03,normal,1050
195,惠众金融,江西|赣州,2013-03-20,normal,195
3301,鱼猫金服,北京|朝阳,2015-01-28,normal,3301
59,陆金服,上海|浦东,2012-01-22,normal,59
850,168金服,福建|福州,2013-12-31,normal,850
985,房金所,上海|虹口,2014-07-18,normal,985
125,融信网,广东|深圳,2013-03-26,normal,125
4223,九金所,江苏|南京,2014-09-03,normal,4223
1728,皮城金融,浙江|嘉兴,2015-03-16,normal,1728
3921,乐享宝,福建|厦门,2015-12-24,normal,3921
34,麦子金服财富,上海|浦东,2009-06-15,normal,34
122,龙城易贷,山西|太原,2013-01-26,normal,122
467,钱多多,上海|浦东,2013-10-08,normal,467
4456,蝴蝶银,广东|深圳,2015-12-22,normal,4456
663,中瑞财富,北京|西城,2014-05-12,normal,663
1623,中融投,广东|深圳,2014-12-19,normal,1623
1095,聚优财,浙江|杭州,2014-05-20,normal,1095
3589,海吉星金融网,广东|深圳,2011-03-31,normal,3589
3043,昊良创投,重庆|涪陵,2015-02-12,normal,3043
3073,通通贷,重庆|渝北,2015-08-13,normal,3073
2975,好借贷,湖北|武汉,2015-03-31,normal,2975
3424,工程惠贷,湖南|长沙,2015-10-01,normal,3424
1707,宜联易贷,山东|滨州,2014-12-15,normal,1707
4354,华丰金融,新疆|乌鲁木齐,2016-05-01,normal,4354
3876,金佰汇金融,浙江|衢州,2015-11-11,normal,3876
1539,中国钱庄,山东|济南,2015-01-01,normal,1539
2565,鼎诚创投,广东|深圳,2015-08-10,normal,2565
1822,小鸡理财,浙江|宁波,2014-09-04,normal,1822
1343,大唐普惠,广东|广州,2014-11-19,normal,1343
1436,网投网,广东|深圳,2014-06-25,normal,1436
1384,冀金宝,河北|石家庄,2014-12-21,normal,1384
1796,胖胖猪,北京|通州,2015-01-11,normal,1796
4459,才米公社,上海|卢湾,2015-04-08,normal,4459
3264,微邦金融,广东|东莞,2015-09-19,normal,3264
1881,有融网,浙江|杭州,2014-11-19,normal,1881
1813,融裕贷,广东|东莞,2015-04-16,normal,1813
4010,黄金钱包,北京|朝阳,2014-12-01,normal,4010
4892,红金宝,广东|深圳,2015-03-24,normal,4892
854,众信金融(京),北京|海淀,2014-06-19,normal,854
5613,润阳贷,江苏|扬州,2016-08-05,normal,5613
2606,爱当宝,北京|朝阳,2015-04-07,normal,2606
5288,吉祥宝金融,浙江|温州,2015-12-29,normal,5288
1276,瑞钱宝,北京|西城,2014-08-01,normal,1276
3168,惠金贷,上海|浦东,2015-10-10,normal,3168
60,红岭创投,广东|深圳,2009-03-28,normal,60
2591,掌中财富,广东|深圳,2015-07-28,normal,2591
4183,易享贷,广东|深圳,2015-01-13,normal,4183
4244,玺欢钱,上海|浦东,2015-06-19,normal,4244
6570,八条鱼,天津|河西,2014-10-01,normal,6570
1617,全民财富,上海|浦东,2015-02-18,normal,1617
822,广金金服,广东|广州,2014-07-07,normal,822
97,一起好,湖北|武汉,2012-09-28,normal,97
4614,AI考拉,广东|广州,2015-05-11,normal,4614
1897,元鑫贷,上海|普陀,2015-03-27,normal,1897
735,穗金所,广东|广州,2014-06-27,normal,735
2871,中网国投,浙江|杭州,2015-05-08,normal,2871
293,广西东盟贷,广西|南宁,2013-07-24,normal,293
1597,善贷,广西|南宁,2014-12-05,normal,1597
1747,沃联财富,宁夏|银川,2015-03-25,normal,1747
4286,金筑财富,贵州|贵阳,2016-02-28,normal,4286
5588,念钱安,浙江|杭州,2015-11-02,normal,5588
1959,房易贷,安徽|合肥,2015-04-28,normal,1959
5206,华西金融,北京|房山,2016-06-19,normal,5206
2953,知商金融,广东|广州,2015-06-18,normal,2953
496,超爱财,上海|浦东,2014-04-25,normal,496
5653,相融网,北京|朝阳,2016-03-30,normal,5653
5649,涌泉金服,北京|海淀,2015-12-15,normal,5649
1159,钱途无忧,湖南|长沙,2014-12-08,normal,1159
3593,黑豆金服,北京|朝阳,2015-11-28,normal,3593
962,利巨人,四川|成都,2014-10-16,normal,962
1208,迅泊达,湖北|武汉,2013-09-09,normal,1208
2049,溢诚金融,陕西|西安,2015-03-18,normal,2049
2672,58money,广东|深圳,2015-06-08,normal,2672
2245,合安易贷,北京|海淀,2014-04-16,normal,2245
1748,道口金融网,江西|南昌,2014-08-01,normal,1748
1444,量子金融,安徽|合肥,2015-01-06,normal,1444
175,招商贷,贵州|贵阳,2013-06-28,normal,175
5501,阳光同益,广东|东莞,2016-01-01,normal,5501
1680,钱道网,内蒙古|呼和浩特,2014-12-25,normal,1680
1233,予财宝,广东|广州,2014-09-28,normal,1233
4471,土豆金服,山东|青岛,2016-05-19,normal,4471
511,车易贷,广东|惠州,2014-05-18,normal,511
1534,金梧桐,北京|海淀,2014-11-18,normal,1534
4328,私房投,山东|淄博,2015-04-08,normal,4328
1941,粒子财富,四川|成都,2015-04-28,normal,1941
1528,优选宝,北京|海淀,2014-12-31,normal,1528
5709,美债所,广东|深圳,2015-09-10,normal,5709
3607,远尚金融,广东|深圳,2015-11-26,normal,3607
983,喜投网,广东|深圳,2014-05-08,normal,983
4215,四海众投,安徽|合肥,2015-07-18,normal,4215
4393,快来贷,广东|东莞,2016-04-10,normal,4393
310,民民贷,浙江|温州,2012-10-24,normal,310
2520,左右逢园,北京|朝阳,2014-10-25,normal,2520
1389,久融金融,湖南|长沙,2014-04-08,normal,1389
1235,全民通金融,广东|深圳,2014-10-26,normal,1235
2140,轻易贷,河北|石家庄,2014-10-25,normal,2140
6392,通通理财,浙江|杭州,2016-04-10,normal,6392
1379,蚂蚁理财,浙江|杭州,2014-11-24,normal,1379
3331,甬e贷,浙江|宁波,2015-11-02,normal,3331
4566,蓝鲸金融,山东|青岛,2015-11-05,normal,4566
278,信和贷,福建|福州,2013-02-04,normal,278
2192,你好贷,福建|厦门,2015-04-09,normal,2192
4014,银象网,河南|郑州,2015-12-07,normal,4014
1992,亿富贷,湖北|武汉,2015-04-18,normal,1992
1758,贝贝投,广东|深圳,2015-02-12,normal,1758
2767,中正易贷,山西|忻州,2015-08-03,normal,2767
675,稳贷网,广东|佛山,2014-06-03,normal,675
1842,袋鼠妈妈,江苏|无锡,2015-04-21,normal,1842
1086,全球贷,北京|海淀,2014-09-01,normal,1086
1932,乐金所,安徽|合肥,2015-04-28,normal,1932
4356,森仙堡,江苏|南京,2016-03-01,normal,4356
4161,投这家,浙江|杭州,2015-08-25,normal,4161
2817,富金利,广东|深圳,2015-08-31,normal,2817
659,58财福,江苏|无锡,2014-04-26,normal,659
581,山东高速金服,广东|深圳,2014-05-12,normal,581
4198,升值空间,北京|西城,2016-01-08,normal,4198
4015,纳泓金服,上海|徐汇,2015-11-02,normal,4015
3324,车赚,河南|新乡,2016-03-23,normal,3324
2195,阿凡达e贷,广东|广州,2015-05-09,normal,2195
3227,壹壹金服,北京|海淀,2015-01-08,normal,3227
4577,脐橙金融,北京|东城,2016-03-11,normal,4577
2516,搜搜金融网,福建|福州,2014-08-08,normal,2516
1001,汇理财,广东|深圳,2014-07-14,normal,1001
1412,投资去,浙江|金华,2014-12-31,normal,1412
1261,福鑫e融,贵州|贵阳,2014-12-08,normal,1261
4490,口袋财行,北京|朝阳,2015-07-15,normal,4490
1670,新纪元金服,湖北|武汉,2014-12-28,normal,1670
2103,浦小宝,辽宁|大连,2015-02-19,normal,2103
1378,鸿金宝,广东|深圳,2014-11-20,normal,1378
4066,万商贷,广东|广州,2015-09-26,normal,4066
2099,火柴头,北京|朝阳,2014-12-01,normal,2099
1248,超人贷,浙江|宁波,2014-02-20,normal,1248
1838,财雨网,山东|济南,2015-03-18,normal,1838
4768,策康即时贷,云南|昆明,2015-03-10,normal,4768
1167,万利金融,湖南|长沙,2014-10-28,normal,1167
3419,囧羊理财,上海|黄浦,2015-11-08,normal,3419
